site_id,country,lat_deg,lon_deg,max_depth_m,measurement_year,prior_gst_c,mean_kappa_w_m_k,mean_grad_k_per_km,n_samples
BY-Brest,,52.18,23.7,210.0,1986.47,8.0,2.5,22.0,39
US-CO5-14,,38.27,-105.5,235.0,1967.77,9.0,3.23,25.49,18
US-CO5-15,,38.27,-105.5,220.0,1967.77,10.0,2.68,26.2,17
US-CO5-20,,39.78,-105.2,530.0,1964.88,12.0,3.01,22.23,52
US-CO5-22,,39.43,-106.1,510.0,1967.67,4.0,3.5,38.5,36
US-CO5-23,,37.93,-107.6,375.0,1967.67,7.0,3.87,55.54,28
US-CO5-24,,39.0,-107.0,210.0,1964.82,3.5,2.95,26.45,20
US-CO5-6,,39.87,-105.5,375.0,1967.87,2.0,2.47,24.8,18
US-CO5-8,,38.68,-106.5,480.0,1967.51,2.0,2.8,25.2,42
US-ME7-34,,44.4,-68.62,350.0,1965.82,7.0,3.91,15.6,34
US-ME7-35,,44.05,-70.62,300.0,1964.83,7.0,3.4,22.85,23
US-NV3-134,,38.57,-116.9,594.36,1968.64,10.0,2.99,25.58,65
AL-Kolonja-10,Albania,40.25,19.67,300.0,1977.41,18.0,2.5,17.0,26
AU-1,Australia,-20.53,139.48,228.6,1969.61,28.87,3.7599,16.27,24
AU-10,Australia,-34.0,151.25,449.58,1972.51,15.21,2.7215,28.159,57
AU-11,Australia,-32.55,138.48,376.03,1972.86,20.24,5.4012,16.87,44
AU-12,Australia,-20.55,139.48,297.18,1969.62,28.622,3.8311,19.011,33
AU-13,Australia,-31.45,145.48,297.49,1971.0,21.104,4.44,21.186,18
AU-14,Australia,-42.2,148.2,600.0,1982.88,13.16,3.37,28.28,59
AU-15,Australia,-35.6,149.45,262.71,1973.07,13.27,4.3963,22.83,40
AU-16,Australia,-19.68,123.23,300.0,1979.0,30.23,3.5,19.91,28
AU-17,Australia,-20.32,140.2,548.64,1974.22,29.382,4.15,24.055,35
AU-18,Australia,-38.13,141.53,353.57,1972.62,15.229,1.55,32.355,40
